"vp" "stim" "par1" "par2" "dv"
"3" "6" 4 "A" 0
"3" "7" 2 "A" 1
"3" "8" 4 "A" 1
"3" "9" 4 "A" 0
"3" "10" 3 "A" 0
"3" "11" 3 "A" 0
"3" "12" 2 "A" 0
"3" "13" 3 "A" 1
"3" "14" 4 "A" 0
"3" "15" 4 "A" 0
"3" "16" 2 "A" 1
"3" "17" 4 "A" 0
"3" "18" 5 "A" 0
"3" "19" 4 "A" 0
"3" "20" 3 "A" 0
"3" "21" 2 "A" 0
"3" "22" 1 "A" 0
"3" "23" 5 "A" 0
"3" "24" 4 "A" 0
"3" "25" 3 "A" 0
"3" "26" 3 "B" 0
"3" "27" 4 "B" 1
"3" "28" 2 "B" 0
"3" "29" 3 "B" 1
"3" "30" 5 "B" 1
"3" "31" 3 "B" 1
"3" "32" 4 "B" 1
"3" "33" 5 "B" 1
"3" "34" 4 "B" 1
"3" "35" 2 "B" 1
"3" "36" 4 "B" 1
"3" "37" 4 "B" 0
"3" "38" 4 "B" 0
"3" "39" 1 "B" 0
"3" "40" 4 "B" 0
"3" "41" 4 "B" 1
"3" "42" 3 "B" 0
"3" "43" 5 "B" 1
"3" "44" 2 "B" 1
"3" "45" 5 "B" 1
"3" "46" 2 "B" 0
"3" "47" 4 "B" 0
"3" "48" 5 "B" 1
"3" "49" 3 "B" 0
"3" "50" 3 "B" 1
"4" "1" 4 "A" 0
"4" "2" 4 "A" 1
"4" "3" 4 "A" 0
"4" "4" 4 "A" 0
"4" "5" 3 "A" 0
"4" "6" 4 "A" 0
"4" "7" 2 "A" 1
"4" "8" 4 "A" 0
"4" "9" 4 "A" 1
"4" "10" 3 "A" 1
"4" "11" 3 "A" 0
"4" "12" 2 "A" 1
"4" "13" 3 "A" 0
"4" "14" 4 "A" 0
"4" "15" 4 "A" 0
"4" "16" 2 "A" 1
"4" "17" 4 "A" 1
"4" "18" 5 "A" 0
"4" "19" 4 "A" 0
"4" "20" 3 "A" 1
"4" "21" 2 "A" 0
"4" "22" 1 "A" 0
"4" "23" 5 "A" 0
"4" "24" 4 "A" 1
"4" "25" 3 "A" 1
"4" "26" 3 "B" 0
"4" "27" 4 "B" 1
"4" "28" 2 "B" 1
"4" "29" 3 "B" 0
"4" "30" 5 "B" 0
"4" "31" 3 "B" 1
"4" "32" 4 "B" 1
"4" "33" 5 "B" 1
"4" "34" 4 "B" 1
"4" "35" 2 "B" 1
"4" "36" 4 "B" 1
"4" "37" 4 "B" 1
"4" "38" 4 "B" 1
"4" "39" 1 "B" 0
"4" "40" 4 "B" 0
"4" "41" 4 "B" 1
"4" "42" 3 "B" 1
"4" "43" 5 "B" 1
"4" "44" 2 "B" 0
"4" "45" 5 "B" 1
"4" "46" 2 "B" 1
"4" "47" 4 "B" 1
"4" "48" 5 "B" 1
"4" "49" 3 "B" 0
"4" "50" 3 "B" 1
"5" "1" 4 "A" 0
"5" "2" 4 "A" 0
"5" "3" 4 "A" 0
"5" "4" 4 "A" 0
"5" "5" 3 "A" 0
"5" "6" 4 "A" 1
"5" "7" 2 "A" 0
"5" "8" 4 "A" 0
"5" "9" 4 "A" 1
"5" "10" 3 "A" 0
"5" "11" 3 "A" 1
"5" "12" 2 "A" 0
"5" "13" 3 "A" 0
"5" "14" 4 "A" 1
"5" "15" 4 "A" 1
"5" "16" 2 "A" 0
"5" "17" 4 "A" 0
"5" "18" 5 "A" 1
"5" "19" 4 "A" 0
"5" "20" 3 "A" 0
"5" "21" 2 "A" 0
"5" "22" 1 "A" 0
"5" "23" 5 "A" 0
"5" "24" 4 "A" 0
"5" "25" 3 "A" 0
"5" "26" 3 "B" 0
"5" "27" 4 "B" 0
"5" "28" 2 "B" 0
"5" "29" 3 "B" 0
"5" "30" 5 "B" 1
"5" "31" 3 "B" 1
"5" "32" 4 "B" 1
"5" "33" 5 "B" 1
"5" "34" 4 "B" 0
"5" "35" 2 "B" 1
"5" "36" 4 "B" 1
"5" "37" 4 "B" 0
"5" "38" 4 "B" 1
"5" "39" 1 "B" 1
"5" "40" 4 "B" 0
"5" "41" 4 "B" 1
"5" "42" 3 "B" 0
"5" "43" 5 "B" 1
"5" "44" 2 "B" 1
"5" "45" 5 "B" 1
"5" "46" 2 "B" 0
"5" "47" 4 "B" 1
"5" "48" 5 "B" 1
"5" "49" 3 "B" 1
"5" "50" 3 "B" 1
"6" "1" 4 "A" 0
"6" "2" 4 "A" 0
"6" "3" 4 "A" 0
"6" "4" 4 "A" 0
"6" "5" 3 "A" 0
"6" "6" 4 "A" 0
"6" "7" 2 "A" 1
"6" "8" 4 "A" 0
"6" "9" 4 "A" 1
"6" "10" 3 "A" 1
"6" "11" 3 "A" 1
"6" "12" 2 "A" 0
"6" "13" 3 "A" 0
"6" "14" 4 "A" 1
"6" "15" 4 "A" 0
"6" "16" 2 "A" 0
"6" "17" 4 "A" 1
"6" "18" 5 "A" 0
"6" "19" 4 "A" 0
"6" "20" 3 "A" 1
"6" "21" 2 "A" 0
"6" "22" 1 "A" 0
"6" "23" 5 "A" 0
"6" "24" 4 "A" 0
"6" "25" 3 "A" 0
"6" "26" 3 "B" 1
"6" "27" 4 "B" 1
"6" "28" 2 "B" 0
"6" "29" 3 "B" 0
"6" "30" 5 "B" 1
"6" "31" 3 "B" 1
"6" "32" 4 "B" 0
"6" "33" 5 "B" 1
"6" "34" 4 "B" 1
"6" "35" 2 "B" 1
"6" "36" 4 "B" 1
"6" "37" 4 "B" 1
"6" "38" 4 "B" 0
"6" "39" 1 "B" 1
"6" "40" 4 "B" 0
"6" "41" 4 "B" 1
"6" "42" 3 "B" 1
"6" "43" 5 "B" 1
"6" "44" 2 "B" 1
"6" "45" 5 "B" 1
"6" "46" 2 "B" 1
"6" "47" 4 "B" 1
"6" "48" 5 "B" 1
"6" "49" 3 "B" 0
"6" "50" 3 "B" 1
"7" "1" 4 "A" 1
"7" "2" 4 "A" 0
"7" "3" 4 "A" 1
"7" "4" 4 "A" 1
"7" "5" 3 "A" 0
"7" "6" 4 "A" 0
"7" "7" 2 "A" 0
"7" "8" 4 "A" 1
"7" "9" 4 "A" 0
"7" "10" 3 "A" 1
"7" "11" 3 "A" 1
"7" "12" 2 "A" 0
"7" "13" 3 "A" 1
"7" "14" 4 "A" 0
"7" "15" 4 "A" 0
"7" "16" 2 "A" 1
"7" "17" 4 "A" 0
"7" "18" 5 "A" 0
"7" "19" 4 "A" 0
"7" "20" 3 "A" 0
"7" "21" 2 "A" 1
"7" "22" 1 "A" 1
"7" "23" 5 "A" 0
"7" "24" 4 "A" 1
"7" "25" 3 "A" 1
"7" "26" 3 "B" 0
"7" "27" 4 "B" 0
"7" "28" 2 "B" 1
"7" "29" 3 "B" 1
"7" "30" 5 "B" 1
"7" "31" 3 "B" 1
"7" "32" 4 "B" 1
"7" "33" 5 "B" 1
"7" "34" 4 "B" 1
"7" "35" 2 "B" 1
"7" "36" 4 "B" 1
"7" "37" 4 "B" 1
"7" "38" 4 "B" 1
"7" "39" 1 "B" 0
"7" "40" 4 "B" 0
"7" "41" 4 "B" 0
"7" "42" 3 "B" 1
"7" "43" 5 "B" 1
"7" "44" 2 "B" 0
"7" "45" 5 "B" 1
"7" "46" 2 "B" 1
"7" "47" 4 "B" 0
"7" "48" 5 "B" 1
"7" "49" 3 "B" 1
"7" "50" 3 "B" 0
"8" "1" 4 "A" 0
"8" "2" 4 "A" 0
"8" "3" 4 "A" 0
"8" "4" 4 "A" 0
"8" "5" 3 "A" 0
"8" "6" 4 "A" 0
"8" "7" 2 "A" 0
"8" "8" 4 "A" 0
"8" "9" 4 "A" 0
"8" "10" 3 "A" 0
"8" "11" 3 "A" 0
"8" "12" 2 "A" 0
"8" "13" 3 "A" 1
"8" "14" 4 "A" 0
"8" "15" 4 "A" 0
"8" "16" 2 "A" 1
"8" "17" 4 "A" 0
"8" "18" 5 "A" 0
"8" "19" 4 "A" 0
"8" "20" 3 "A" 0
"8" "21" 2 "A" 0
"8" "22" 1 "A" 1
"8" "23" 5 "A" 0
"8" "24" 4 "A" 0
"8" "25" 3 "A" 1
"8" "26" 3 "B" 0
"8" "27" 4 "B" 1
"8" "28" 2 "B" 1
"8" "29" 3 "B" 1
"8" "30" 5 "B" 1
"8" "31" 3 "B" 1
"8" "32" 4 "B" 1
"8" "33" 5 "B" 1
"8" "34" 4 "B" 1
"8" "35" 2 "B" 1
"8" "36" 4 "B" 1
"8" "37" 4 "B" 0
"8" "38" 4 "B" 0
"8" "39" 1 "B" 0
"8" "40" 4 "B" 1
"8" "41" 4 "B" 1
"8" "42" 3 "B" 0
"8" "43" 5 "B" 1
"8" "44" 2 "B" 1
"8" "45" 5 "B" 0
"8" "46" 2 "B" 0
"8" "47" 4 "B" 0
"8" "48" 5 "B" 1
"8" "49" 3 "B" 1
"8" "50" 3 "B" 0
"9" "1" 4 "A" 0
"9" "2" 4 "A" 0
"9" "3" 4 "A" 0
"9" "4" 4 "A" 1
"9" "5" 3 "A" 0
"9" "6" 4 "A" 1
"9" "7" 2 "A" 1
"9" "8" 4 "A" 0
"9" "9" 4 "A" 1
"9" "10" 3 "A" 0
"9" "11" 3 "A" 0
"9" "12" 2 "A" 0
"9" "13" 3 "A" 0
"9" "14" 4 "A" 0
"9" "15" 4 "A" 0
"9" "16" 2 "A" 0
"9" "17" 4 "A" 0
"9" "18" 5 "A" 0
"9" "19" 4 "A" 0
"9" "20" 3 "A" 1
"9" "21" 2 "A" 0
"9" "22" 1 "A" 0
"9" "23" 5 "A" 0
"9" "24" 4 "A" 0
"9" "25" 3 "A" 1
"9" "26" 3 "B" 0
"9" "27" 4 "B" 1
"9" "28" 2 "B" 1
"9" "29" 3 "B" 1
"9" "30" 5 "B" 1
"9" "31" 3 "B" 0
"9" "32" 4 "B" 0
"9" "33" 5 "B" 1
"9" "34" 4 "B" 1
"9" "35" 2 "B" 1
"9" "36" 4 "B" 1
"9" "37" 4 "B" 1
"9" "38" 4 "B" 1
"9" "39" 1 "B" 0
"9" "40" 4 "B" 1
"9" "41" 4 "B" 0
"9" "42" 3 "B" 0
"9" "43" 5 "B" 1
"9" "44" 2 "B" 1
"9" "45" 5 "B" 1
"9" "46" 2 "B" 0
"9" "47" 4 "B" 0
"9" "48" 5 "B" 1
"9" "49" 3 "B" 1
"9" "50" 3 "B" 1
"10" "1" 4 "A" 1
"10" "2" 4 "A" 0
"10" "3" 4 "A" 0
"10" "4" 4 "A" 0
"10" "5" 3 "A" 0
"10" "6" 4 "A" 0
"10" "7" 2 "A" 0
"10" "8" 4 "A" 1
"10" "9" 4 "A" 1
"10" "10" 3 "A" 0
"10" "11" 3 "A" 0
"10" "12" 2 "A" 1
"10" "13" 3 "A" 0
"10" "14" 4 "A" 0
"10" "15" 4 "A" 0
"10" "16" 2 "A" 0
"10" "17" 4 "A" 0
"10" "18" 5 "A" 0
"10" "19" 4 "A" 0
"10" "20" 3 "A" 1
"10" "21" 2 "A" 0
"10" "22" 1 "A" 0
"10" "23" 5 "A" 1
"10" "24" 4 "A" 0
"10" "25" 3 "A" 0
"10" "26" 3 "B" 1
"10" "27" 4 "B" 1
"10" "28" 2 "B" 1
"10" "29" 3 "B" 1
"10" "30" 5 "B" 0
"10" "31" 3 "B" 0
"10" "32" 4 "B" 1
"10" "33" 5 "B" 1
"10" "34" 4 "B" 1
"10" "35" 2 "B" 0
"10" "36" 4 "B" 1
"10" "37" 4 "B" 1
"10" "38" 4 "B" 0
"10" "39" 1 "B" 0
"10" "40" 4 "B" 1
"10" "41" 4 "B" 1
"10" "42" 3 "B" 1
"10" "43" 5 "B" 1
"10" "44" 2 "B" 1
"10" "45" 5 "B" 1
"10" "46" 2 "B" 1
"10" "47" 4 "B" 1
"10" "48" 5 "B" 1
"10" "49" 3 "B" 1
"10" "50" 3 "B" 1
